嗚呼,ああ,"Ah!;Oh!;Alas!",
思い切り,おもいきり,"with all one's strength (heart);resignation;resolution",
思い込む,おもいこむ,"to be under impression that;to be convinced that;to imagine that;to set one's heart on;to be bent on",
思い出す,おもいだす,"to recall;to remember",
思い付く,おもいつく,"to think of;to hit upon;to come into one's mind;to be struck with an idea",
思い出,おもいで,"memories;recollections;reminiscence",
思う,おもう,"to think;to feel",
面白い,おもしろい,"interesting;amusing",
重たい,おもたい,"heavy;massive;serious;important;severe;oppressed",
玩具,おもちゃ,"toy",
表,おもて,"surface;front;right side;face;exterior;outside;the street;mat covers;head (of a coin);first half (of an innings)",
表,おもて,"surface;front;right side;face;exterior;outside;the street;mat covers;head (of a coin);first half (of an innings)",
重なる,おもなる,"main;principal;important",
主に,おもに,"mainly;primarily",
重役,おもやく,"heavy responsibilities;director",
思わず,おもわず,"unintentional;spontaneous",
,おや,"oh!;oh?;my!",
親,おや,"parents",
お休み,おやすみ,"holiday;absence;rest;Good night",
お八,おやつ,"1.  (uk) between meal snack;afternoon refreshment;afternoon tea; 2.  mid-day snack",
親指,おやゆび,"thumb",
泳ぎ,およぎ,"swimming",
泳ぐ,およぐ,"to swim",
凡そ,およそ,"about;roughly;as a rule;approximately",
及ぼす,およぼす,"to exert;to cause;to exercise",
下りる,おりる,"to alight (e.g. from bus);to get off;to descend (e.g. a mountain)",
降りる,おりる,"to alight (e.g. from bus);to get off;to descend (e.g. a mountain)",
折る,おる,"to break;to fold;to pick flower",
折れる,おれる,"to break;to be folded;to give in;to turn (a corner)",
卸す,おろす,"to sell wholesale;grated (vegetables)",
降ろす,おろす,"to take down;to launch;to drop;to lower;to let (a person) off;to unload;to discharge",
終わり,おわり,"the end",
終わる,おわる,"to finish;to close",
終わる,おわる,"to finish;to close",
恩,おん,"favour;obligation",
音楽,おんがく,"music;musical movement",
恩恵,おんけい,"grace;favor;blessing;benefit",
温室,おんしつ,"greenhouse",
温泉,おんせん,"spa;hot spring;onsen",
温帯,おんたい,"temperate zone",
温暖,おんだん,"warmth",
御中,おんちゅう,"and Company;Messrs.",
温度,おんど,"temperature",
女,おんな,"woman",
女,おんな,"woman",
女の子,おんなのこ,"girl",
女の人,おんなのひと,"woman",
可,か,"passable",
蚊,か,"mosquito",
課,か,"counter for chapters (of a book)",
仮,か,"tentative;provisional",
科,か,"department;section",
個,か,"article counter",
回,かい,"counter for occurrences",
貝,かい,"shell;shellfish",
階,かい,"-floor (counter);stories",
会員,かいいん,"member;the membership",
開会,かいかい,"opening of a meeting",
会館,かいかん,"meeting hall;assembly hall",
絵画,かいが,"picture",
海外,かいがい,"foreign;abroad;overseas",
海岸,かいがん,"coast;beach",
会議,かいぎ,"meeting;conference;session;assembly;council;convention;congress",
会計,かいけい,"account;finance;accountant;treasurer;paymaster;reckoning;bill",
解決,かいけつ,"settlement;solution;resolution",
会合,かいごう,"meeting;assembly",
改札,かいさつ,"examination of tickets",
解散,かいさん,"breakup;dissolution",
開始,かいし,"start;commencement;beginning",
会社,かいしゃ,"company;corporation",
解釈,かいしゃく,"explanation;interpretation",
会場,かいじょう,"assembly hall;meeting place;the grounds",
海水浴,かいすいよく,"sea bathing;seawater bath",
回数,かいすう,"number of times;frequency",
回数券,かいすうけん,"book of tickets",
改正,かいせい,"revision;amendment;alteration",
快晴,かいせい,"good weather",
解説,かいせつ,"explanation;commentary",
改善,かいぜん,"betterment;improvement;incremental and continuous improvement",
改造,かいぞう,"remodeling",
階段,かいだん,"stairs",
開通,かいつう,"opening;open",
快適,かいてき,"pleasant;agreeable;comfortable",
回転,かいてん,"rotation;revolution;turning",
解答,かいとう,"answer;solution",
回答,かいとう,"reply;answer",
回復,かいふく,"recovery (from illness);rehabilitation;restoration",
解放,かいほう,"release;liberation;emancipation",
開放,かいほう,"open;throw open",
買い物,かいもの,"shopping",
海洋,かいよう,"ocean",
会話,かいわ,"conversation",
買う,かう,"to buy",
飼う,かう,"to keep;to raise;to feed",
返す,かえす,"to return something",
帰す,かえす,"to send back",
却って,かえって,"on the contrary;rather;all the more;instead",
帰り,かえり,"return;coming back",
代える,かえる,"to exchange;to interchange;to substitute;to replace",
替える,かえる,"to exchange;to interchange;to substitute;to replace",
換える,かえる,"to exchange;to interchange;to substitute;to replace",
変える,かえる,"to change;to alter;to vary;to convert;to revise;to amend",
返る,かえる,"to return;to come back;to go back",
帰る,かえる,"to go back;to go home;to come home;to return",
顔,かお,"face (person)",
家屋,かおく,"house;building",
香り,かおり,"aroma;fragrance;scent;smell",
抱える,かかえる,"to hold or carry under or in the arms",
価格,かかく,"price;value;cost",
係り,かかり,"official;duty;person in charge",
掛かる,かかる,"to take (e.g. time  money  etc);to hang",
係わる,かかわる,"to concern oneself in;to have to do with;to affect;to influence;to stick to (opinions)",
科学,かがく,"science",
化学,かがく,"chemistry",
鏡,かがみ,"mirror",
輝く,かがやく,"to shine;to glitter;to sparkle",
書留,かきとめ,"writing down;putting on record;recording;making a note of;registration (of mail)",
書き取り,かきとり,"dictation",
垣根,かきね,"hedge",
鍵,かぎ,"key",
限り,かぎり,"limit(s);as far as possible;as much as possible;to the best of one's ability",
限る,かぎる,"to restrict;to limit;to confine",
書く,かく,"to write",
掻く,かく,"to scratch;to perspire",
佳句,かく,"beautiful passage of literature",
角,かく,"1.  angle; 2.  bishop (shogi)",
架空,かくう,"aerial;overhead;fiction;fanciful",
覚悟,かくご,"resolution;resignation;readiness;preparedness",
各自,かくじ,"individual;each",
確実,かくじつ,"certainty;reliability;soundness",
拡充,かくじゅう,"expansion",
隠す,かくす,"to hide;to conceal",
拡大,かくだい,"magnification;enlargement",
各地,かくち,"every place;various places",
拡張,かくちょう,"expansion;extension;enlargement;escape (ESC)",
角度,かくど,"angle",
確認,かくにん,"affirmation;confirmation",
格別,かくべつ,"exceptional",
確率,かくりつ,"probability",
隠れる,かくれる,"to hide;to be hidden;to conceal oneself;to disappear",
嗅ぐ,かぐ,"to sniff;to smell",
家具,かぐ,"furniture",
掛け算,かけざん,"multiplication",
可決,かけつ,"approval;adoption (e.g. motion  bill);passage",
掛ける,かける,"1.  to wear;to put on;to hang;to begin to;to cover;to multiply;to turn on (a switch);to play (a record);to pour (water); 2.  to sit down; 3.  to make a phone call",
欠ける,かける,"to be lacking",
影,かげ,"shade;shadow;other side",
ヶ月,かげつ,"months",
加減,かげん,"addition and subtraction;allowance for;degree;extent;measure;condition;seasoning;flavor;moderation;adjustment;influence (of the weather);state of health;chance",
過去,かこ,"the past;bygone days;the previous",
火口,かこう,"crater",
下降,かこう,"downward;descent;fall;drop;subsidence",
囲む,かこむ,"to surround;to encircle",
籠,かご,"basket;cage",
傘,かさ,"shape;umbrella;parasol",
火災,かさい,"conflagration;fire",
重ねる,かさねる,"to pile up;to put something on another;to heap up;to add;to repeat",
飾り,かざり,"decoration",
飾る,かざる,"to decorate;to ornament;to adorn",
火山,かざん,"volcano",
貸し,かし,"loan;lending",
菓子,かし,"pastry",
賢い,かしこい,"wise;clever;smart",
畏まりました,かしこまりました,"certainly!",
貸し出し,かしだし,"lending;loaning",
過失,かしつ,"error;blunder;accident",
貸間,かしま,"room to let",
貸家,かしや,"house for rent",
歌手,かしゅ,"singer",
箇所,かしょ,"passage;place;point;part",
火傷,かしょう,"burn;scald",
火事,かじ,"fire;conflagration",
家事,かじ,"housework;domestic chores",
果実,かじつ,"fruit;nut;berry.",
過剰,かじょう,"excess;over-",
噛る,かじる,"to chew;to bite (at);to gnaw;to nibble;to munch;to crunch;to have a smattering of",
貸す,かす,"to lend",
擦る,かする,"to touch lightly;to take a percentage (from)",
数,かず,"number;figure",
数,かず,"number;figure",
稼ぐ,かせぐ,"to earn income;to labor",
下線,かせん,"underline;underscore",
風,かぜ,"wind;breeze",
風邪,かぜ,"cold (illness);common cold",
風,かぜ,"wind;breeze",
課税,かぜい,"taxation",
加速,かそく,"acceleration",
加速度,かそくど,"acceleration",
数える,かぞえる,"to count",
家族,かぞく,"family;members of a family",
方,かた,"person",
型,かた,"mold;model;style;shape;data-type",
肩,かた,"shoulder",
方,かた,"person",
型,かた,"mold;model;style;shape;data-type",
方,かた,"person",
固い,かたい,"stubborn;firm (not viscous or easily moved);certain;solemn",
堅い,かたい,"hard (esp. wood);steadfast;honorable;stuffy writing",
硬い,かたい,"solid;hard (esp. metal  stone);unpolished writing",
難い,かたい,"difficult;hard",
片仮名,かたかな,"katakana",
方々,かたがた,"persons;this and that;here and there;everywhere;any way;all sides;all gentlemen;all people",
方々,かたがた,"persons;this and that;here and there;everywhere;any way;all sides;all gentlemen;all people",
敵,かたき,"enemy;rival",
形,かたち,"form;shape;figure;type",
片付く,かたづく,"to put in order;to dispose of;to solve;to finish;to get married",
片付ける,かたづける,"to tidy up;to put in order;to straighten up;to put away",
刀,かたな,"sword;blade",
傾く,かたぶく,"to incline toward;to slant;to lurch;to heel over;to be disposed to;to trend toward;to be prone to;to go down (sun);to wane;to sink;to decline",
塊,かたまり,"lump;mass;clod;cluster",
固まる,かたまる,"to harden;to solidify;to become firm;to become certain",
片道,かたみち,"one-way (trip)",
片寄る,かたよる,"to be one-sided;to incline;to be partial;to be prejudiced;to lean;to be biased",
偏る,かたよる,"to be one-sided;to incline;to be partial;to be prejudiced;to lean;to be biased",
語る,かたる,"to talk;to tell;to recite",
勝ち,かち,"win;victory",
価値,かち,"value;worth;merit",
活気,かっき,"energy;liveliness",
括弧,かっこ,"parenthesis;brackets",
格好,かっこう,"shape;form;posture;suitability;moderateness (in price);appearance;manner",
勝手に,かってに,"arbitrarily;of it's own accord;involuntarily;wilfully;as one pleases",
勝つ,かつ,"to win",
担ぐ,かつぐ,"to shoulder;to carry on shoulder",
活字,かつじ,"printing type",
活動,かつどう,"action;activity",
活躍,かつやく,"activity",
活用,かつよう,"conjugation;practical use",
活力,かつりょく,"vitality;energy",
日付,かづけ,"date;dating",
仮定,かてい,"assumption;supposition;hypothesis",
家庭,かてい,"home;family;household",
過程,かてい,"process",
課程,かてい,"course;curriculum",
門,かど,"gate",
仮名,かな,"Japanese syllabary (alphabets);kana",
家内,かない,"wife",
悲しい,かなしい,"sad;sorrowful",
悲しむ,かなしむ,"to be sad;to mourn for;to regret",
仮名遣い,かなづかい,"kana orthography;syllabary spelling",
金槌,かなづち,"1.  (iron) hammer; 2.  punishment",
必ずしも,かならずしも,"(not) always;(not) necessarily;(not) all;(not) entirely",
可成,かなり,"considerably;fairly;quite",
金,かね,"money;metal",
鐘,かね,"bell;chime",
金,かね,"money;metal",
金庫,かねぐら,"safe;vault;treasury;provider of funds",
加熱,かねつ,"heating",
金持ち,かねもち,"rich man",
兼ねる,かねる,"to hold (position);to serve;to be unable;to be beyond one's ability;to combine with;to use with;cannot;to hesitate to;to be impatient",
可能,かのう,"possible;practicable;feasible",
彼女,かのじょ,"she;girl friend;sweetheart",
過半数,かはんすう,"majority",
下番,かばん,"going off duty",
下品,かひん,"inferior article",
華美,かび,"pomp;splendor;gaudiness",
花瓶,かびん,"(flower) vase",
株,かぶ,"share;stock;stump (of tree)",
被せる,かぶせる,"to cover (with something);to plate something (with a metal);to pour or dash a liquid (on something);to charge (a person with a guilt)",
